"lineRef","stopPointRef","stopPointName","aimedDepartureTime","departureTime","aimedArrivalTime","arrivalTime","dayOfTheWeek"
"SKY:Line:3E","NSR:Quay:53115",,"{""value"":""2025-01-30T13:39:00.000Z""}","{""value"":""2025-01-30T13:41:57.000Z""}","{""value"":""2025-01-30T13:39:00.000Z""}","{""value"":""2025-01-30T13:41:20.000Z""}",4
"SKY:Line:15","NSR:Quay:53118",,"{""value"":""2025-01-30T13:40:00.000Z""}","{""value"":""2025-01-30T13:40:01.000Z""}",,,4
"SKY:Line:50E","NSR:Quay:53118",,"{""value"":""2025-01-30T13:40:00.000Z""}","{""value"":""2025-01-30T13:40:42.000Z""}","{""value"":""2025-01-30T13:40:00.000Z""}","{""value"":""2025-01-30T13:40:15.000Z""}",4
"SKY:Line:5","NSR:Quay:53118",,"{""value"":""2025-01-30T13:41:00.000Z""}","{""value"":""2025-01-30T13:46:33.000Z""}","{""value"":""2025-01-30T13:41:00.000Z""}","{""value"":""2025-01-30T13:46:07.000Z""}",4
"SKY:Line:10","NSR:Quay:53117",,"{""value"":""2025-01-30T13:41:00.000Z""}","{""value"":""2025-01-30T13:40:21.000Z""}","{""value"":""2025-01-30T13:41:00.000Z""}","{""value"":""2025-01-30T13:39:01.000Z""}",4
"SKY:Line:40","NSR:Quay:53119",,"{""value"":""2025-01-30T13:42:00.000Z""}","{""value"":""2025-01-30T13:42:01.000Z""}","{""value"":""2025-01-30T13:42:00.000Z""}","{""value"":""2025-01-30T13:41:24.000Z""}",4
"SKY:Line:19","NSR:Quay:53117",,"{""value"":""2025-01-30T13:43:00.000Z""}","{""value"":""2025-01-30T13:48:12.000Z""}","{""value"":""2025-01-30T13:43:00.000Z""}","{""value"":""2025-01-30T13:47:07.000Z""}",4
"SKY:Line:3","NSR:Quay:53115",,"{""value"":""2025-01-30T13:44:00.000Z""}","{""value"":""2025-01-30T13:46:44.000Z""}","{""value"":""2025-01-30T13:44:00.000Z""}","{""value"":""2025-01-30T13:45:48.000Z""}",4
"SKY:Line:6","NSR:Quay:53117",,"{""value"":""2025-01-30T13:46:00.000Z""}","{""value"":""2025-01-30T13:51:33.000Z""}","{""value"":""2025-01-30T13:46:00.000Z""}","{""value"":""2025-01-30T13:50:55.000Z""}",4
"SKY:Line:4","NSR:Quay:53118",,"{""value"":""2025-01-30T13:46:00.000Z""}","{""value"":""2025-01-30T13:48:07.000Z""}","{""value"":""2025-01-30T13:46:00.000Z""}","{""value"":""2025-01-30T13:47:35.000Z""}",4
"SKY:Line:39","NSR:Quay:53119",,"{""value"":""2025-01-30T13:48:00.000Z""}","{""value"":""2025-01-30T13:52:20.000Z""}","{""value"":""2025-01-30T13:48:00.000Z""}","{""value"":""2025-01-30T13:52:05.000Z""}",4
"SKY:Line:12","NSR:Quay:53117",,"{""value"":""2025-01-30T13:48:00.000Z""}","{""value"":""2025-01-30T13:50:08.000Z""}","{""value"":""2025-01-30T13:48:00.000Z""}","{""value"":""2025-01-30T13:49:31.000Z""}",4
"SKY:Line:3E","NSR:Quay:53115",,"{""value"":""2025-01-30T13:49:00.000Z""}","{""value"":""2025-01-30T13:53:37.000Z""}","{""value"":""2025-01-30T13:49:00.000Z""}","{""value"":""2025-01-30T13:52:33.000Z""}",4
"SKY:Line:11","NSR:Quay:53114",,"{""value"":""2025-01-30T13:49:00.000Z""}","{""value"":""2025-01-30T13:50:04.000Z""}","{""value"":""2025-01-30T13:49:00.000Z""}",,4
"SKY:Line:15","NSR:Quay:53118",,"{""value"":""2025-01-30T13:50:00.000Z""}","{""value"":""2025-01-30T13:50:05.000Z""}",,,4
"SKY:Line:50E","NSR:Quay:53118",,"{""value"":""2025-01-30T13:50:00.000Z""}","{""value"":""2025-01-30T13:50:21.000Z""}","{""value"":""2025-01-30T13:50:00.000Z""}","{""value"":""2025-01-30T13:49:26.000Z""}",4
"SKY:Line:5","NSR:Quay:53118",,"{""value"":""2025-01-30T13:51:00.000Z""}","{""value"":""2025-01-30T14:06:16.000Z""}","{""value"":""2025-01-30T13:51:00.000Z""}","{""value"":""2025-01-30T14:05:35.000Z""}",4
